날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-08-15,전국,29.4,24.5,35.9
2018-08-16,전국,27.1,23.5,32
2018-08-17,전국,25.1,20.9,30.1
2018-08-18,전국,24.2,18.8,30.3
2018-08-19,전국,25.2,19.4,31.6
2018-08-20,전국,26.4,21.1,31.9
2018-08-21,전국,26.8,22.1,32.3
2018-08-22,전국,28.9,22.9,34.7
2018-08-23,전국,27.1,24.6,30
2018-08-24,전국,25.6,23.1,29
2018-08-25,전국,24.5,21.4,28.6
2018-08-26,전국,22.3,20.2,25.6
2018-08-27,전국,23.5,21.1,25.9
2018-08-28,전국,25.1,22.7,28.9
2018-08-29,전국,26.1,22.6,30.5
2018-08-30,전국,26.3,23.9,30.4
2018-08-31,전국,23.7,20.9,27.1
2018-09-01,전국,23.3,19.7,28
2018-09-02,전국,22.4,18.2,26.5
2018-09-03,전국,23.8,21.1,27.3
2018-09-04,전국,23.7,19.7,28.6
2018-09-05,전국,23.3,18.2,28.7
2018-09-06,전국,22.6,18.2,27.1
2018-09-07,전국,21.3,17.8,25.4
2018-09-08,전국,19.5,14.8,25.3
2018-09-09,전국,20.4,14.4,27
2018-09-10,전국,20.6,15.6,26
2018-09-11,전국,19.6,14.5,24.6
2018-09-12,전국,21,15.6,26.7
2018-09-13,전국,20.9,18.4,24.2
2018-09-14,전국,21.6,19,24.5
2018-09-15,전국,22,20.2,24.6
2018-09-16,전국,22.7,20.4,26.5
2018-09-17,전국,21.9,17.8,27.3
2018-09-18,전국,21,16,27.4
2018-09-19,전국,20.6,16.6,25.1
2018-09-20,전국,19.7,18.3,21.5
2018-09-21,전국,19.3,17.9,21.1
2018-09-22,전국,20.3,15.3,26.4
2018-09-23,전국,18.9,13.6,25.7
2018-09-24,전국,16.6,12.1,22.1
2018-09-25,전국,16.5,9.7,23.6
2018-09-26,전국,17.8,13.8,23.1
2018-09-27,전국,17.2,11.4,23.9
2018-09-28,전국,16.9,11.6,22.1
2018-09-29,전국,18.6,14.1,23.7
2018-09-30,전국,18.5,14.2,24.7
2018-10-01,전국,16,12.3,20
2018-10-02,전국,15.5,10.1,22.1
2018-10-03,전국,15.5,9.2,23.5
2018-10-04,전국,18.1,10.8,24.6
2018-10-05,전국,17.5,15.7,19.3
2018-10-06,전국,18.8,16.2,22
2018-10-07,전국,17.6,12.6,23.7
2018-10-08,전국,14.5,9.7,21.1
2018-10-09,전국,14.8,10,19.8
2018-10-10,전국,13.9,9.2,17.8
2018-10-11,전국,10.7,5.9,16
2018-10-12,전국,10.4,4.6,17.6
2018-10-13,전국,11.8,5.3,19.7
2018-10-14,전국,13.1,6.8,20.3
2018-10-15,전국,14,8.5,21.1
2018-10-16,전국,13,9.1,18.5
2018-10-17,전국,12.4,7.6,19.3
2018-10-18,전국,11.6,6.2,17.7
2018-10-19,전국,12.1,6.7,19.3
2018-10-20,전국,11.5,5.3,20.5
2018-10-21,전국,11.6,4.9,20.8
2018-10-22,전국,12.8,6.7,20.1
2018-10-23,전국,13.2,8.6,19.3
2018-10-24,전국,12.2,7.1,19.5
2018-10-25,전국,12.3,5.6,20.9
2018-10-26,전국,12.3,9.2,15.1
2018-10-27,전국,10.6,7,14.3
2018-10-28,전국,10.6,4.4,16.5
2018-10-29,전국,9.8,5,15.5
2018-10-30,전국,7.5,2.6,13.1
2018-10-31,전국,7.8,2.8,14.2
2018-11-01,전국,7.7,1.4,16
2018-11-02,전국,9,2.1,18.3
2018-11-03,전국,9.7,2.6,19.3
2018-11-04,전국,10.2,3.1,19.8
2018-11-05,전국,10.7,3.8,19.1
2018-11-06,전국,11.8,5.7,19
2018-11-07,전국,12.8,10.1,15.5
2018-11-08,전국,14,12.1,17.1
2018-11-09,전국,12.4,7.9,16.1
2018-11-10,전국,10.9,5.5,18.2
2018-11-11,전국,9.5,4.9,14.3
2018-11-12,전국,9.3,4.9,14.9
2018-11-13,전국,8.8,4,15.4
2018-11-14,전국,8.5,3.3,15.9
2018-11-15,전국,8.7,3,16.5
2018-11-16,전국,9,5.1,13.7
2018-11-17,전국,7.4,2.7,13.7
2018-11-18,전국,6.4,2,11.1
2018-11-19,전국,7.2,2,13.6
2018-11-20,전국,6.1,0.3,13.5
2018-11-21,전국,6.2,1.4,11.1
2018-11-22,전국,4.1,-0.2,8.8
2018-11-23,전국,2.3,-2.6,8.6
2018-11-24,전국,3.7,-0.6,7.1
2018-11-25,전국,5.7,1.8,11.3
2018-11-26,전국,5.9,0.6,13.9
2018-11-27,전국,7.8,1.5,14.9
2018-11-28,전국,5.9,1.2,12.1
2018-11-29,전국,5,-0.9,11.4
2018-11-30,전국,5.1,-0.1,12.1
2018-12-01,전국,5.4,1,11.9
2018-12-02,전국,8.5,1.2,15.3
2018-12-03,전국,12.1,9.1,15.2
2018-12-04,전국,10.2,5.2,14.1
2018-12-05,전국,3.9,-0.3,7.9
2018-12-06,전국,4,1.6,6.9
2018-12-07,전국,-3,-6.1,3.1
2018-12-08,전국,-5,-8.4,-1
2018-12-09,전국,-4.4,-8.8,0.7
2018-12-10,전국,-1.9,-7.9,5.4
2018-12-11,전국,0.3,-3,2.6
2018-12-12,전국,-0.5,-4.2,3.8
2018-12-13,전국,-0.3,-5.3,5.1
2018-12-14,전국,-2.4,-6.5,3
2018-12-15,전국,-1.9,-8.3,5.7
2018-12-16,전국,0.6,-3.2,4.5
2018-12-17,전국,3.2,-1,7.5
2018-12-18,전국,2.5,-2.5,8.5
2018-12-19,전국,5.1,-0.6,11.9
2018-12-20,전국,4.2,-0.1,10.5
2018-12-21,전국,5.1,-1.3,12.2
2018-12-22,전국,6.7,1.2,13.4
2018-12-23,전국,5.5,0.4,10.3
2018-12-24,전국,-0.3,-4.4,5.1
2018-12-25,전국,0.4,-5.4,5.4
2018-12-26,전국,2.5,-1,6.9
2018-12-27,전국,-4.8,-8.1,-0.5
2018-12-28,전국,-7,-10.7,-2.7
2018-12-29,전국,-5.1,-9.5,-0.7
2018-12-30,전국,-4.7,-9.4,0.9
2018-12-31,전국,-3.2,-9.9,4
